	comment	label	label_id
0	واقعا حیف وقت که بنویسم سرویس دهیتون شده افتضاح	SAD	1
1	قرار بود ۱ ساعته برسه ولی نیم ساعت زودتر از موقع رسید، شما ببین چقدرررررررررررر پلاک خفنههههه، من سالهاست مشتریشونم و سالهاست مزه بهشت میده غذاشون	HAPPY	0
2	قیمت این مدل اصلا با کیفیتش سازگاری نداره، فقط ظاهر فریبنده داره، پرش میکنن کالباس و قارچ	SAD	1
3	عالللی بود همه چه درست و به اندازه و کیفیت خوب، امیداورم همیشه کیفیتتون خوب باشه ما مشتری همیشگی بشیم	HAPPY	0
4	شیرینی وانیلی فقط یک مدل بود.	HAPPY	0
5	بدترین پیتزایی که تا به حال خورده بودم	SAD	1
6	از همه لحاظ عالی ممنونم	HAPPY	0
7	کیفیت غذا متوسط رو به پایین بود انگار داخل یه رستوران معمولی غذا خوردی درحالی که امتیاز رستوران در اسنپ فود ۴٫۳ بود	SAD	1
8	همه اقلام تازه و به روز وخیلیییییی سریع بدستم رسید واقعا متشکرم	HAPPY	0
9	همه چی خوب ولی هات داگ دورش کلا سوخته بود و داخلش خام بود!!!!	SAD	1
10	اکلر فوق العاده بود اما بافت چیزکیک مونده بود و دوست نداشتم.	HAPPY	0
11	خوب بود و از رستوران غنچه و اسنپ فود تشکر میکنم	HAPPY	0
12	مثل همیشه عااااالی هستی پرپروک جاااااان مچکریم ازت	HAPPY	0
13	Kheili khub bud mersi vaghan	HAPPY	0
14	عکس با شیریبی که ارسال کردند فرق داشت و خیلی نامرتب و خورد شده بود. اصلا پیشنهاد نمیکنم	SAD	1
15	سریع سفارش بدستم رسید ممنونم اسنپ فود	HAPPY	0
16	خیلی عالی بود خیلی هم زود رسید خوشمزه	HAPPY	0
17	هات داگ یکم خام بود. حجمش خوب بود	HAPPY	0
18	ممنون که به صلاحدید هودتون سفارش رو تغییر دادید.	SAD	1
19	پیتزا سرد و خیلی خیلی بدمزه بود و میگوتون افتضاح بویه بد میداذ، سیبزمینیا افتضاح بودن واقعا از بوکا انتظاره بیشتری میره بعده اینهمه سال.. دیگه ازتون غذا نمیگیرم مطمئنم	SAD	1
20	خیلی مسخرس یک ساعت باید منتظر موند و تازه ۳ هزار تومان هم پول اسنپ اکسپرس بدی در صورتی که رستورانای اطراف تلفنی با پیک‌مجانی میارن حالا اگه زود بیارید اشکالی نداره پول هم بگیرید بابتش ولی نه بک ساعتتتت برای یک پیتزا ساده	SAD	1
21	۷۱ هزار پول ساندویچ شد، ولی بیشترش قارچ بود	SAD	1
22	سفارش من رانی آناناس بود ولی مغازه سانی نس آناناس ارسال کرده	SAD	1
23	سلام. خیلی عالیه. متشکرم. همیشه در کارتان موفق باشید	HAPPY	0
24	سفارش پس از تاخیر بسیار طولانی رسید و متاسفانه بستنی‌ها آب شده بودند.	SAD	1
25	بسیار عالی و به موقع رسید طعم و کیفیت هم عالی بود	HAPPY	0
26	مثل دفعه قبل هم به موقع هم خوشمزه	HAPPY	0
27	کیفیت غذا خوب بود و تقریبا داغ بود اما خیلی دیر رسید	HAPPY	0
28	بد نبود اما برخلاف دفعات قبل چرب‌تر بود و بال هام خوب نپخته بود	SAD	1
29	من فقط یه سیب زمینی سفارش دادم ۲ ساعت طول کشید	SAD	1
30	سریع و زودتر از تایم اعلامی بدستم رسید و این خیلی خوبه	HAPPY	0
31	بسیار تازه و خوشمزه بود مرسی	HAPPY	0
32	سس ۴۸۵گرمی سفارش دادن، اما سس ۴۵۵گرمی برام آوردن!	SAD	1
33	نوشابه ارسال نشد، با این که هزینه آن پرداخت شده بود. (منوی دینر همراه با نوشابه است)	SAD	1
34	سلام بسیار خوب بود ممنون	HAPPY	0
35	دستتون درد نکنه عالی بود هم حجمش از لحاظ قیمت زیاد بود هم خوب پخته شده بود فکر کنم میشم مشتری دائم خیلی زود هم رسید جاتون خالی غذای داغ و خوشمزه میل کردیم	HAPPY	0
36	سریع و به موقع با اجناس عالی و تاریخ مصرف درست باید به این سوپر مارکت نمره ۲۰ داد ناصری	HAPPY	0
37	اصلا دانمارکی نبود بسیار بیات و مونده بود اصلا راضی نبودم متاسفانه	SAD	1
38	بجای ۱۰ عدد پای سیب. سه عدد مدل متفاوت با سفارش من ارسال شده	SAD	1
39	کیسه زیپ دار سفارش دادم، کیسه معمولی برای من فرستادن، خمیر پیتزا سفارش دادم، خمیر پیراشکی فرستادن،	SAD	1
40	سریع‌تر و با کیفیت بیشتد تشکر	HAPPY	0
41	بسیار عالی و با کیفیت، ممنونم و امیدوارم که این کیفیت همیشگی باشد.	HAPPY	0
42	به شدت چرب بود و اصلا مزه چیزی بجز روغن احساس نمیشد. پیتزا ریحان هم نداشت	SAD	1
43	غذای این سری خوب بود	HAPPY	0
44	عالی خیلی هم سریع رسید	HAPPY	0
45	کیک و جعبه ان متلاشی شده بود. که پیک زمان تحویل گفت مقداری تکان خورده وقتی دیدم کیک رو خیلی بیشتر از یه کمی بو جالبه که حتی جعبه هم متلاشی شده بود. اگر سرویس ارسال کیک رو پذیرفتید حداقل‌ها رو هم رعایت کنید	SAD	1
46	غذا بسیار دیر تحویل داده شد و فقط نون و پنیر بود.	SAD	1
47	مرغ کامل سرخ نشده بود	SAD	1
48	طعم ابگوشت تلخ بود و اب ابگوشت خیلی کم بود و کمتر از دیزیهای معمول بود	SAD	1
49	کیفت چلو پایین بود	SAD	1
50	نوشته بودم پیک باهام تماس بگیره. پیک قبل از رسیدن به دم در منزل، تحویل سفارش رو زده بود. نگران شدم نکنه همینجوری سفارشو گذاشته تو لابی و رفته. رفتم دم در، بعد از یک دقیقه تازه پیک از راه رسید و اصلا باهام تماش نگرفت. خودم رفتم ازش سفارشو تحویل گرفتم. این کار خیلی زشته. لطفا در انتخاب پیک مسئولیت پذیر دقت بیشتری به خرج بدین. پنیر لازانیا سفارش دادم، تولید مهرماه رو برام فرستادن که دوهفته بعد تاریخ انقضاشه. لطفا محصولات تازه برای مشتری ارسال کنید. درکل ناراضی هستم	SAD	1
51	سلام شیرینی که برای من به عنوان برشتوک آجیلی آوردن به نام برشتوک حنایی است و اصلا مطابق شکل سایت نیست	SAD	1
52	بد نبود، اما خیلی هم خاص و بی‌نظیر نبود. انتظار یه مزه فوق العاده رو داشتم. معمولی بود	HAPPY	0
53	فقط سس ریخته بودن توش حجم بسیار کم نسبت به قیمت بسیار بالا کیفیت پایین	SAD	1
54	پیک ۱۰ دقیقه من رو توی کوچه نگه داشت و پیدا نمیکرد	SAD	1
55	باروژ باروژ این بود …!!! من سه مدل سیر و استیک. استیک و پیتزا باروژ گرفتم باید به باروژ تبریک بگم. خوب بلید جیب مردم و خالی کنید با این قیمت‌های بالاتون اولین و آخرین باری بود که از باروژ خرید کردم. آبروم و جلو همکارام بردین واقعا پولمو دور ریختم با خرید ازتون	SAD	1
56	غذای بسیار بسیار بسیار بی کیفیت با تاخیر فراوان	SAD	1
57	وقتی مشتری روی یک طعم خاص دلستر تاکید میکنه، انتظار میره که به نظر مشتری توجه بشه حداقل اگر تو رستوران هم موجود نیست قبل از ارسال نظر مشتری اخذ بشه	SAD	1
58	غذا سرد بود اونم تو این گرما!	HAPPY	0
59	سوتفاهم شده یک لیتر آب طالبی میخواستم نه یخ خرد شده. بیشتر طعم آب میده	SAD	1
60	موهیتو طعمه همیشگی نبود و خیلی ترش و تلخ بود.	HAPPY	0
61	خیلی بدمزه بود جوجه، توش خام بود نپخته بود، اصلا نتونستم بخورم	SAD	1
62	گوشت و قارچ پیتزای بیف گورمه مونده بود و بو میداد و پخت قبل بود متاسفانه غیر قابل خوردن.	SAD	1
63	شیرینی زبان خیلی خشک و بد بود	SAD	1
64	غذا گرم بود و خوشمزه.. ممنون	HAPPY	0
65	مرغ خوب سرخ شده بود ولی محتویات شکم زیاد جالب نبود …	SAD	1
66	روی جعبه‌ها مشخص نشده بود کدوم اسپایسیه و کدوم نرمال، و به همین ترتیب اشتباه شد تا میانه‌ی خوردن غذا..	HAPPY	0
67	بجای کیک بزرگ کیک متوسط تحویل گرفتیم بجای وزن۱۶۰۰ ما وزن۱۲۰۰ دریافت کردیم	HAPPY	0
68	The nutella and caramel rolls are AMAZING!!! GREAT service and very delicious desserts- عالى!!!!	HAPPY	0
69	غذا دیر اومد، کیفیت پایین بود فقط حجم الکی با کاهو پیر شده بود و کیفیت نداشت اصلا	SAD	1
70	پیک رستوران خیلی عالی بود، با وجود اینکه، غذا رو کامل نفرستاده بودن، سرعت عملش خیلی بالا بود۹ و ساندویچ هم سرد بود، هنگام تحویل	HAPPY	0
71	من ۳ تا دسر سفارش دادم ولی یه دونه اوردن	SAD	1
72	مونده بود.. خیلی مزه بدی داشت	SAD	1
73	حجم غذا خوبه. ولی بسیار بسیار دیر ارسال می‌کنند. بیش از یکساعت طول کشید. املت مگه چقدر زمانبر هست؟	HAPPY	0
74	تاخیر زیاد در ارسال بسته	SAD	1
75	"بسته بندی اصلا"" مناسب نبود و در یک نایلکس نازک که اسنپ باکس آن را دو دست گرفته بود که پاره نشود"	HAPPY	0
76	افتضاح بود با ۴۰ دقیقه تاخیر اومد	SAD	1
77	با عرض سلام غذا به حدی سرد بود متوجه نشدم چی بود متاسفم	SAD	1
78	پیک نیم ساعت قبل از اینکه سفارش رو تحویل بده اعلام میکنه سفارش رو تحویل داده و بعد اعلام تحویل تازه تماس میگیره میپرسه آدرس شما کجاست؟! حتی بعدش نیومد بالا تحویل بده. بدون اینکه اعلام کنه سفارش رو ول کرده تو آسانسور رفته! یه ربع منتظر بودم که سفارش چی شد! آخرش هم همسایه مون سفارش رو تو آسانسور دیده یود و یکی یکی زنگ‌ها رو زده بود که اینا برا کیه؟! بدترین پیکی بود که تا حالا باهاش برخورد داشتم.	SAD	1
79	غذا خوب بود ولی سرد به دستم رسید	HAPPY	0
80	جوجه کباب اصلا خوب نبود. اما خوراک ماهی بد نبود	SAD	1
81	برخورد خوب و مناسب پیک	SAD	1
82	همیشه سفارشات رو جا به جا میارید ایندفعه هم به جای سس بیژن رب روژین اوردید … بیشتر دقت کنید	SAD	1
83	مگه سوپر مارکت عمده فروشیه که نوشابه داغ برای مشتری ارسال می‌کنید؟ اگه نوشابه داغ می‌خواستم من خودم بهتر بلد بودم برم عمده فروشی و با قیمت ارزونتری نوشابه بخرم	SAD	1
84	معمولی بود و کاملا سرد …در کل جالب نبود	SAD	1
85	دقتی به توضیحات درخواست نمیشه	HAPPY	0
86	ماهی بو‌ بدی داشت برنج هم بی کیفیت بود	SAD	1
87	من قبلا تو شعبه‌های دیگه پرپروک غذا خوردم واقعا کیفیت اینجا پایینه. همه چیز خیلی شدید طعم آویشن میده حتی سیب زمینی کنار مرغ و چیپس و پنیر!!! واقعا موقع خوردن غذا فکر میکنی فقط داری آویشن میخوری.	SAD	1
88	مغز تخمه خوب و تازه بود، بادام روکش دار توش مانده داشت، کشک معمولی خواسته بودم ک رشته‌ی فرستادن ک هم مانده ست هم سفت، برگه‌ها خوبن	HAPPY	0
89	۲ ساعت و نیم تاخیر برای ارسال یک عدد ساندویچ! و تحویل ساندویخ سرد و خیس!	SAD	1
90	نان تازه و کاملا داغ به دستم رسید. خیلی ممنون	HAPPY	0
91	نسبت به قیمت اندازه کوچیک بود. پیتزای خانواده باید سه نفر رو حداقل سیر کنه	SAD	1
92	من ثبت کرده بودم دلستر تلخ می‌خواهم. برای بنده دلستر با طعم لیمو آوردند. به توضیحات دقت نکرده بودند.	SAD	1
93	نان خامه‌ای اصلا تازه نبود متاسفانه اولین و آخرین بار سفارشم از شیرینی ناتلی شد.	SAD	1
94	مثل همیشه به موقع و گرم. و غذای خوشمزه	HAPPY	0
95	خوشمزه بود ولی فکر کنم همون ۸ تیکه رو ۲۰ تیکه کرده بودن ولی خوب و خوشمزه بود	HAPPY	0
96	این بار غذا افتضاح بود بسیار سرد و ماسیده بود و‌جالب اینکه از ما ۷٫۵۰۰ تومان خم هزینه بسته بندی گرفتن	SAD	1
97	کیفیت خوب بود اما غذا هم سرد بود وهم حجمش بسیارکوچیکه و سیر نمیشی بایدونه	SAD	1
98	کیفیت و سرعت و دقت آرتین عالیست	HAPPY	0
99	بسته بندی، مخلفات و کیفیت غذا بسیار عاااالی بود فقط برا تحویل غذا ۱۰ دقیقه قبلش زد که تحویل داده شد در حالی که ما غذایی تحویل نگرفته بودیم	HAPPY	0
100	نان خیلی خمیر بود!!!!!	SAD	1
101	من دوست نداشتم ممنون	HAPPY	0
102	سوسیس گیاهی فرانکفورتر سفارش دادم ولی سوسیس پاپریکا برام فرستادن	SAD	1
103	کیفیت غذا خوب بود. خوش مزه بود. زمانی هم که رسید کاملا گرم بود. برخورد پیک خوب بود. کلا از همه لحاظ راضی بودم.	HAPPY	0
104	با سلام خدمت دوستان محترم این غدا به جد بدترین اکبر جوجه‌ای بود که تا به حال خورده بودم و با اینکه اولین باری بود که از این رستوران سفارش میدادم مطمئنا حتی دوست ندارم که هیچ کدوم از غذاهای دیگشونو امتحان کنم ولی دلایلمو از نارضایتیم می‌نویسم که شاید اصلاح بشه و یا دیگر دوستان تجربیات منو نداشته باشن: مرغ مونده، من هیچ جایی ندیدم که مرغ توی سس انار مونده باشه و بعد پخته بشه و سیاه باشه و ندیدم برای ارسال مرغ روی برنج باشه تا همه روغنش بره توی برنج و از هم تو ۲ تا ظرف نباشهو با اینکه ۲۰۰۰ تومن هم پول ظرف دریافت شده از برنجم هیچی نفهمیدم چون خیسه سس مثلا انارو روغن مونده جوجه بود.	SAD	1
105	کیک بسیار کهنه بود!	HAPPY	0
106	سوسیس خام با پنیر تو نون حداقل یکم سرخش کنید بعد بفرستید	SAD	1
107	مثل همیشه همه چیز عالی بود:)	HAPPY	0
108	غدا کلا سرد بود	SAD	1
109	خوب بود. دستتون درد نکنه. فقط کاش پیتزاتون پیاز خام نداشت!	HAPPY	0
110	سالاد ماکارانی سفارش دادم سالاد روسی آوردن	SAD	1
111	یک کیلو چیز کیک ۷ عدد بود اما یکی از آن‌ها کم است	SAD	1
112	از زحمات اسنپ فود برای پی گیری کمال تشکر را دارم.	HAPPY	0
113	غذا خیلی سرد بود. در واقع سرد‌ترین تجربه سفارش غذا من بود! با اینکه کمتر از ۳۰ دقیقه به دستم رسید. اما کیفیتش بد نبود فکر میکنم در مراجعه حضوری تجربه بهتری خواهم داشت.	SAD	1
114	کیک چندین دور در باکس هم‌ خورده بود و تمام روی‌کیک به دور‌جعبه ریخته بود. اما‌ مشکل از کوک نبود از پیک بود. لطفا بفرمایید که چیزی که از کوک میارن نباید خیلی تکان بخوره.	HAPPY	0
115	پیتزا خوشمزه بود اما گوشت راسته‌ای که در مواد بود اصلا دیده نمیشد و مواد روش هم خیلی کم بود	HAPPY	0
116	ممنونم از احترام به مشتری. غذای خوب و با کیفیت شما نشانه احترام شماست.	HAPPY	0
117	همیشه یک ساعت زمان تحویل می‌زنید و یکساعت هم با تاخیر غذا فرستادید و وقتی غذا رسید کاملا سرد بود سیب زمینی‌ها و چیزبرگر غیر قابل خوردن سس پنیر سرد با پیگیری جواب به من دادن که غذا رو گرم کنید!	SAD	1
118	کیفیت این ساندویج نسبت به قبل کاهش پیدا کرده. مواد داخل ساندویچ اصلا با منو مطابقت نداشت و چندین مورد مثل قارچ حذف شده بود. از طرفی کاملا شور بود و راحت خورده نمیشد. اصلا انتظار نمیره با وجود قیمتای نسبتا بالا و مالیاتی که روی قیمت غذای میاد، کیفیتش اینطوری باشه	SAD	1
119	حجم و کیفیت برگر خوب بود ولی اصلا پنیر نداشت!، خیارشور هم کم گذاشته بودن	SAD	1
120	پنیر تبریز به میزان ۸۰۰ گرم کاملا خورد و غیرقابل استفاده. پس از پیگیری از طریق پشتیبانی قرار شد تعویض گردد اما پس از گذشت بیش از دو ساعت و پیگیری مجدد بعلت نداشتن پیک، تعویض به تاخیر افتاد. با توجه به ترد بودن پنیر تبریز انتظار میرود چنین حجم از پنیر بجای قرار گرفتن در کیسه فریزر، در ظرفی مناسب قرار داده شود تا در بین کالاهای دیگر له و خورد نشود.	SAD	1
121	هر سه تکه ران بود	SAD	1
122	مرسی از اینکه غذا مطبوع بود و هم قیمه و هم چلوکباب به لطف اسنپ فود ظرف بیست دقیقه رسید. موفق باشید	HAPPY	0
123	مایع ظرفشویی داخل بسته خرید نبود	SAD	1
124	نون پیتزا از زیر سوخته بود و مواد روی پیتزا نسبتا خام بود. خدا قوت!	SAD	1
125	کامل آب شده بود خامه هم معلوم نبود اصلا کیفیتش چرا داره میاد پایین؟	SAD	1
126	افتضاح! دفعه بعد فکر کنم نان خالی تحویل بدن بهتره	SAD	1
127	همه چیز تازه و خوشمزه و باکیفیت در بسته بندی مناسب به دستم رسید.	HAPPY	0
128	لطفا ساندویچ را به شکل کمبو بدهید یعنی همراه با سیب زمینی و نوشابه	HAPPY	0
129	هم غذا خوب بود هم پیک به موقع رسید	HAPPY	0
130	خوشمزه بود ولى خیلی سرد بود	HAPPY	0
131	مزه کباب کوبیده میداد و اصلا کیفیت گوشتش مناسب نبود	SAD	1
132	عاشق تارت تمشک و تارت توت فرنگیتونم عالین.	HAPPY	0
133	کل کبابی که سفارش داده بودم سوخته بود خیلی کیفیت گوشتشم بد بود	SAD	1
134	مثل همیشه محشر مشتری پروپاقرص زرشک‌ پلو‌های میهمان هستیم	HAPPY	0
135	یکی از بهترین نون بربریهایی بود که خورده بودم. ممنون کیفیت عااالی.	HAPPY	0
136	سیب‌زمینی تنوری عاااالی بود	HAPPY	0
137	پریشب خریدم خیلی پیاز و جعفری داشت امشب میشه گفت تقریبا نداشت ولی خوب بود ممنون	HAPPY	0
